episode,reward,steps,epsilon,success
1,-1.0000000000000007,200,0.0,False
2,-1.0000000000000007,200,0.0,False
3,-1.0000000000000007,200,0.0,False
4,-1.0000000000000007,200,0.0,False
5,-1.0000000000000007,200,0.0,False
6,-1.0000000000000007,200,0.0,False
7,-1.0000000000000007,200,0.0,False
8,0.49999999999999967,100,0.0,True
9,-1.0000000000000007,200,0.0,False
10,0.4349999999999996,113,0.0,True
11,0.24499999999999944,151,0.0,True
12,-1.0000000000000007,200,0.0,False
13,-1.0000000000000007,200,0.0,False
14,-1.0000000000000007,200,0.0,False
15,-1.0000000000000007,200,0.0,False
16,0.6599999999999998,68,0.0,True
17,-1.0000000000000007,200,0.0,False
18,-1.0000000000000007,200,0.0,False
19,-1.0000000000000007,200,0.0,False
20,-1.0000000000000007,200,0.0,False
21,-1.0000000000000007,200,0.0,False
22,0.5449999999999997,91,0.0,True
23,-1.0000000000000007,200,0.0,False
24,-1.0000000000000007,200,0.0,False
25,0.7849999999999999,43,0.0,True
26,0.47499999999999964,105,0.0,True
27,0.7949999999999999,41,0.0,True
28,0.2049999999999994,159,0.0,True
29,0.6599999999999998,68,0.0,True
30,-1.0000000000000007,200,0.0,False
31,0.82,36,0.0,True
32,-1.0000000000000007,200,0.0,False
33,-1.0000000000000007,200,0.0,False
34,0.10999999999999932,178,0.0,True
35,-1.0000000000000007,200,0.0,False
36,-1.0000000000000007,200,0.0,False
37,-1.0000000000000007,200,0.0,False
38,-1.0000000000000007,200,0.0,False
39,-1.0000000000000007,200,0.0,False
40,-1.0000000000000007,200,0.0,False
41,-1.0000000000000007,200,0.0,False
42,-1.0000000000000007,200,0.0,False
43,-1.0000000000000007,200,0.0,False
44,-1.0000000000000007,200,0.0,False
45,-1.0000000000000007,200,0.0,False
46,-1.0000000000000007,200,0.0,False
47,0.91,18,0.0,True
48,0.46999999999999964,106,0.0,True
49,0.5449999999999997,91,0.0,True
50,-1.0000000000000007,200,0.0,False
51,-1.0000000000000007,200,0.0,False
52,0.3049999999999995,139,0.0,True
53,-1.0000000000000007,200,0.0,False
54,0.7299999999999999,54,0.0,True
55,-1.0000000000000007,200,0.0,False
56,-1.0000000000000007,200,0.0,False
57,0.14499999999999935,171,0.0,True
58,-1.0000000000000007,200,0.0,False
59,0.7649999999999999,47,0.0,True
60,-1.0000000000000007,200,0.0,False
61,-1.0000000000000007,200,0.0,False
62,0.7649999999999999,47,0.0,True
63,0.37999999999999956,124,0.0,True
64,0.5249999999999997,95,0.0,True
65,0.87,26,0.0,True
66,-1.0000000000000007,200,0.0,False
67,0.5849999999999997,83,0.0,True
68,-1.0000000000000007,200,0.0,False
69,0.14499999999999935,171,0.0,True
70,0.23999999999999944,152,0.0,True
71,0.7049999999999998,59,0.0,True
72,-1.0000000000000007,200,0.0,False
73,0.35999999999999954,128,0.0,True
74,0.885,23,0.0,True
75,0.24499999999999944,151,0.0,True
76,0.865,27,0.0,True
77,0.5949999999999998,81,0.0,True
78,0.87,26,0.0,True
79,0.10999999999999932,178,0.0,True
80,0.4299999999999996,114,0.0,True
81,0.8099999999999999,38,0.0,True
82,0.10499999999999932,179,0.0,True
83,0.965,7,0.0,True
84,0.3949999999999996,121,0.0,True
85,0.905,19,0.0,True
86,0.5549999999999997,89,0.0,True
87,-1.0000000000000007,200,0.0,False
88,0.955,9,0.0,True
89,0.6499999999999998,70,0.0,True
90,0.94,12,0.0,True
91,0.2099999999999994,158,0.0,True
92,0.95,10,0.0,True
93,0.21999999999999942,156,0.0,True
94,0.5599999999999997,88,0.0,True
95,0.5149999999999997,97,0.0,True
96,0.5649999999999997,87,0.0,True
97,0.7299999999999999,54,0.0,True
98,0.895,21,0.0,True
99,0.895,21,0.0,True
100,0.915,17,0.0,True
101,0.94,12,0.0,True
102,0.88,24,0.0,True
103,0.7649999999999999,47,0.0,True
104,0.885,23,0.0,True
105,0.905,19,0.0,True
106,0.02999999999999925,194,0.0,True
107,0.14499999999999935,171,0.0,True
108,0.36999999999999955,126,0.0,True
109,0.35499999999999954,129,0.0,True
110,0.2999999999999995,140,0.0,True
111,0.95,10,0.0,True
