episode,reward,steps,epsilon,success
1,-1.0000000000000007,200,0.0,False
2,0.7799999999999999,44,0.0,True
3,-1.0000000000000007,200,0.0,False
4,-1.0000000000000007,200,0.0,False
5,-1.0000000000000007,200,0.0,False
6,-1.0000000000000007,200,0.0,False
7,-1.0000000000000007,200,0.0,False
8,-1.0000000000000007,200,0.0,False
9,0.7549999999999999,49,0.0,True
10,0.7999999999999999,40,0.0,True
11,0.09499999999999931,181,0.0,True
12,-1.0000000000000007,200,0.0,False
13,-1.0000000000000007,200,0.0,False
14,-1.0000000000000007,200,0.0,False
15,-1.0000000000000007,200,0.0,False
16,-1.0000000000000007,200,0.0,False
17,-1.0000000000000007,200,0.0,False
18,-1.0000000000000007,200,0.0,False
19,-1.0000000000000007,200,0.0,False
20,0.835,33,0.0,True
21,-1.0000000000000007,200,0.0,False
22,-1.0000000000000007,200,0.0,False
23,-1.0000000000000007,200,0.0,False
24,-1.0000000000000007,200,0.0,False
25,-1.0000000000000007,200,0.0,False
26,0.14499999999999935,171,0.0,True
27,-1.0000000000000007,200,0.0,False
28,0.845,31,0.0,True
29,-1.0000000000000007,200,0.0,False
30,-1.0000000000000007,200,0.0,False
31,-1.0000000000000007,200,0.0,False
32,-1.0000000000000007,200,0.0,False
33,-1.0000000000000007,200,0.0,False
34,0.4299999999999996,114,0.0,True
35,-1.0000000000000007,200,0.0,False
36,-1.0000000000000007,200,0.0,False
37,0.5099999999999997,98,0.0,True
38,0.15499999999999936,169,0.0,True
39,-1.0000000000000007,200,0.0,False
40,0.3949999999999996,121,0.0,True
41,0.12999999999999934,174,0.0,True
42,-1.0000000000000007,200,0.0,False
43,-1.0000000000000007,200,0.0,False
44,-1.0000000000000007,200,0.0,False
45,-1.0000000000000007,200,0.0,False
46,-1.0000000000000007,200,0.0,False
47,-1.0000000000000007,200,0.0,False
48,-1.0000000000000007,200,0.0,False
49,-1.0000000000000007,200,0.0,False
50,-1.0000000000000007,200,0.0,False
51,0.2849999999999995,143,0.0,True
52,0.855,29,0.0,True
53,0.6899999999999998,62,0.0,True
54,-1.0000000000000007,200,0.0,False
55,-1.0000000000000007,200,0.0,False
56,-1.0000000000000007,200,0.0,False
57,-1.0000000000000007,200,0.0,False
58,0.7049999999999998,59,0.0,True
59,-1.0000000000000007,200,0.0,False
60,0.04499999999999926,191,0.0,True
61,-1.0000000000000007,200,0.0,False
62,-1.0000000000000007,200,0.0,False
63,0.48499999999999965,103,0.0,True
64,-1.0000000000000007,200,0.0,False
65,-1.0000000000000007,200,0.0,False
66,-1.0000000000000007,200,0.0,False
67,-1.0000000000000007,200,0.0,False
68,-1.0000000000000007,200,0.0,False
69,-1.0000000000000007,200,0.0,False
70,-1.0000000000000007,200,0.0,False
71,0.8049999999999999,39,0.0,True
72,-1.0000000000000007,200,0.0,False
73,-1.0000000000000007,200,0.0,False
74,0.83,34,0.0,True
75,-1.0000000000000007,200,0.0,False
76,0.5099999999999997,98,0.0,True
77,0.6649999999999998,67,0.0,True
78,-1.0000000000000007,200,0.0,False
79,-1.0000000000000007,200,0.0,False
80,-1.0000000000000007,200,0.0,False
81,-1.0000000000000007,200,0.0,False
82,-1.0000000000000007,200,0.0,False
83,-1.0000000000000007,200,0.0,False
84,0.47999999999999965,104,0.0,True
85,0.49999999999999967,100,0.0,True
86,-1.0000000000000007,200,0.0,False
87,-1.0000000000000007,200,0.0,False
88,-1.0000000000000007,200,0.0,False
89,-1.0000000000000007,200,0.0,False
90,-1.0000000000000007,200,0.0,False
91,0.89,22,0.0,True
92,-1.0000000000000007,200,0.0,False
93,-1.0000000000000007,200,0.0,False
94,0.94,12,0.0,True
95,-1.0000000000000007,200,0.0,False
96,0.22499999999999942,155,0.0,True
97,-1.0000000000000007,200,0.0,False
98,0.13499999999999934,173,0.0,True
99,0.27499999999999947,145,0.0,True
100,-1.0000000000000007,200,0.0,False
101,-1.0000000000000007,200,0.0,False
