episode,reward,steps,epsilon,success,policy_loss,value_loss,entropy,total_loss,approx_kl_mean,clip_frac_mean,ratio_mean,ratio_std,v_mean,v_std,raw_adv_mean,raw_adv_std,returns_mean,raw_adv_min,raw_adv_max,returns_std,values_old_mean,values_old_std,explained_variance
1,-0.45000000000000034,450,0.0,False,0.13510961830615997,3.2621660466247704e-06,1.6001081466674805,0.13510961830615997,0.02085890737362206,0.193359375,0.9885546043515205,0.13067501597106457,-0.05144453700631857,0.00012524176418082789,-0.009586581028997898,0.0012838392285630107,-0.05046263337135315,-0.010394016280770302,-0.0006287954747676849,0.0012743788538500667,-0.040876053273677826,0.000181301380507648,-0.008704662322998047
2,0.5499999999999996,450,0.0,False,0.2861701250076294,0.0006234081229194999,1.6042015552520752,0.2861701250076294,-0.0009259376674890518,0.0,1.0040497407317162,0.07656255457550287,-0.023995274445042014,7.48685542930616e-05,0.029015978798270226,0.13357777893543243,-0.020042186602950096,-0.008842488750815392,0.9914228320121765,0.13355615735054016,-0.04905816912651062,0.0001191570408991538,-0.0003230571746826172
3,0.5499999999999996,450,0.0,False,0.2761770188808441,0.0005165694747120142,1.591435432434082,0.2761770188808441,0.006664092419669032,0.169921875,1.0018665716052055,0.12944545410573483,-0.012112290365621448,7.621405347890686e-05,0.024281717836856842,0.13361677527427673,0.001718496554531157,-0.013175949454307556,0.9868553876876831,0.13362403213977814,-0.02256321907043457,6.097910591051914e-05,0.00010919570922851562
4,-0.45000000000000034,450,0.0,False,0.24411311745643616,8.636834536446258e-06,1.5708768367767334,0.24411311745643616,0.014935287181288004,0.205078125,0.99429851770401,0.12086577899754047,-0.01539618382230401,6.860423218313372e-05,-0.015968581661581993,0.00209220452234149,-0.01748775877058506,-0.016724690794944763,-0.0009876296389847994,0.002084678504616022,-0.0015191769925877452,6.47327397018671e-05,-0.004926204681396484
5,-0.45000000000000034,450,0.0,False,0.2771201729774475,4.968026701135386e-08,1.577836036682129,0.2771201729774475,-0.0004269795026630163,0.0,1.0015008375048637,0.045014956034719944,-0.03494368027895689,6.698781453451375e-05,-0.012296915985643864,0.0016063933726400137,-0.036452315747737885,-0.012958664447069168,-0.0006989408284425735,0.001612659078091383,-0.024155402556061745,8.971122588263825e-05,0.01154780387878418
6,0.5499999999999996,450,0.0,False,0.26971864700317383,0.0005140143912285566,1.5566012859344482,0.26971864700317383,0.010649390518665314,0.0,0.9939455911517143,0.08742137439548969,-0.01580556237604469,7.885033755883342e-05,0.02724798023700714,0.13350914418697357,-0.010510485619306564,-0.010616783052682877,0.9895291924476624,0.13352742791175842,-0.03775846213102341,6.819678674219176e-05,0.00027424097061157227
7,-0.45000000000000034,450,0.0,False,0.17697551846504211,9.715495075113267e-09,1.460937738418579,0.17697551846504211,0.058196159079670906,0.591796875,0.9668219983577728,0.1809685993939638,-0.034443092066794634,5.098550582260941e-05,-0.013165420852601528,0.0017151158535853028,-0.031956255435943604,-0.013831458985805511,-0.0008212514221668243,0.00173193437512964,-0.01879083178937435,6.779781688237563e-05,0.022578656673431396
8,0.5499999999999996,450,0.0,False,-0.1765470951795578,0.003132190555334091,1.4923298358917236,-0.1765470951795578,0.009388633305206895,0.0859375,0.9977751523256302,0.1172015480697155,-0.008471327717415988,5.661916156896041e-05,0.026109395548701286,0.13351263105869293,-0.004744017031043768,-0.011782059445977211,0.9883304238319397,0.13351742923259735,-0.030853411182761192,5.3268930059857666e-05,7.224082946777344e-05
9,0.5499999999999996,450,0.0,False,-1.6453450918197632,0.05444854497909546,1.5027849674224854,-1.6453450918197632,-0.002036035293713212,0.0,1.0033255219459534,0.046236240305006504,0.01667435874696821,5.3226633099257015e-05,0.02188403718173504,0.1336292326450348,0.013459869660437107,-0.015556056052446365,0.9846063852310181,0.1336338371038437,-0.008424168452620506,6.792883505113423e-05,6.943941116333008e-05
10,-0.45000000000000034,450,0.0,False,-3.898864507675171,0.0001779321173671633,1.493135690689087,-3.898864507675171,-0.020650212420150638,0.3125,1.033265396952629,0.12138653267174959,0.002843805559678003,8.029826949496055e-05,-0.019886290654540062,0.0025991129223257303,0.0027649931143969297,-0.020780950784683228,-0.0012754928320646286,0.002599455649033189,0.02265128307044506,7.968308636918664e-05,0.0017376542091369629
11,21.743000000000016,257,0.0,True,0.48511582612991333,0.07813645154237747,1.45907461643219,0.48511582612991333,-0.023762018978595735,0.046875,1.033332931995392,0.1018359825015068,0.4128469705581665,0.00037389963981695475,1.4241983890533447,2.1208133697509766,1.418241024017334,-0.01473904587328434,12.004918098449707,2.120814323425293,-0.005957405082881451,6.964956264710054e-05,9.5367431640625e-07
12,0.5499999999999996,450,0.0,False,0.28922176361083984,0.0005903703276999295,1.4101603031158447,0.28922176361083984,0.010942591587081552,0.1015625,0.9941545650362968,0.0907425107434392,0.30196087807416916,0.00022835696472611744,-0.03646840900182724,0.1332124024629593,0.31874796748161316,-0.07711814343929291,0.9238206148147583,0.13322772085666656,0.3552164137363434,0.0002841843815986067,0.00023043155670166016
13,0.5499999999999996,450,0.0,False,0.2553125321865082,0.0013958828058093786,1.4114925861358643,0.2553125321865082,0.00935376645065844,0.041015625,0.9961211085319519,0.10122772585600615,0.27412982285022736,0.00015221655667119194,-0.031769827008247375,0.13361656665802002,0.27994710206985474,-0.06967838853597641,0.9308145046234131,0.1335998773574829,0.3117169141769409,0.00015129247913137078,-0.0002493858337402344
14,0.5499999999999996,450,0.0,False,0.24355408549308777,0.0005631418316625059,1.379991054534912,0.24355408549308777,0.026320541044697165,0.033203125,0.9833760261535645,0.12399191595613956,0.24080961383879185,0.00021746725178672932,-0.025996005162596703,0.13329371809959412,0.2646443843841553,-0.06646064668893814,0.9346699118614197,0.13320232927799225,0.2906404137611389,0.0002684617938939482,-0.0013720989227294922
15,0.5499999999999997,450,0.0,False,0.2731213867664337,0.0005980354035273194,1.4054838418960571,0.2731213867664337,0.002602848457172513,0.0,0.9988738596439362,0.05442670593038201,0.2579539231956005,0.00015691780572524294,-0.021302081644535065,0.13338035345077515,0.24049299955368042,-0.06122344732284546,0.9404920935630798,0.13340415060520172,0.2617950737476349,0.00018270433065481484,0.0003572702407836914
16,0.5499999999999996,450,0.0,False,0.2204837203025818,4.8308073019143194e-05,1.3597602844238281,0.2204837203025818,0.022240681224502623,0.33984375,0.9915255680680275,0.15081294439733028,0.20802050083875656,0.00019674681971082464,-0.019864922389388084,0.1336367428302765,0.21191108226776123,-0.056103769689798355,0.9444714784622192,0.1335703283548355,0.23177599906921387,0.0002230901300208643,-0.0009943246841430664
