episode,reward,steps,success
1,5.549999999999956,450,False
2,21.69899999999999,301,True
3,21.61999999999992,380,True
4,21.846000000000004,154,True
5,5.549999999999918,450,False
6,-0.45000000000000034,450,False
7,21.846000000000032,154,True
8,21.730999999999966,269,True
9,21.853000000000016,147,True
10,21.78000000000002,220,True
11,5.549999999999962,450,False
12,21.889000000000017,111,True
13,21.692000000000053,308,True
14,21.664000000000012,336,True
15,21.71899999999998,281,True
16,5.5499999999998995,450,False
17,21.728999999999985,271,True
18,21.889999999999993,110,True
19,21.740999999999982,259,True
20,5.549999999999861,450,False
21,21.65799999999999,342,True
22,5.549999999999945,450,False
23,5.549999999999907,450,False
24,21.85900000000002,141,True
25,9.550000000000036,450,False
26,21.760000000000005,240,True
27,21.73,270,True
28,5.549999999999886,450,False
29,9.549999999999937,450,False
30,21.583999999999904,416,True
31,21.823000000000064,177,True
32,21.686999999999966,313,True
33,5.54999999999986,450,False
34,9.549999999999907,450,False
35,21.69999999999998,300,True
36,-0.45000000000000034,450,False
37,21.836000000000023,164,True
38,21.78899999999998,211,True
39,-0.45000000000000034,450,False
40,21.742000000000026,258,True
41,21.614000000000033,386,True
42,21.769000000000055,231,True
43,21.75099999999999,249,True
44,5.5499999999999,450,False
45,21.809000000000044,191,True
46,21.723000000000106,277,True
47,-0.45000000000000034,450,False
48,21.738000000000028,262,True
49,21.68399999999992,316,True
50,21.717999999999982,282,True
51,21.625999999999955,374,True
52,-0.45000000000000034,450,False
53,9.549999999999947,450,False
54,21.708000000000016,292,True
55,21.670999999999978,329,True
56,21.757000000000012,243,True
57,5.549999999999861,450,False
58,9.549999999999901,450,False
59,21.631999999999916,368,True
60,21.847,153,True
61,21.821000000000005,179,True
62,9.549999999999947,450,False
63,21.79,210,True
64,21.757000000000023,243,True
65,21.74599999999998,254,True
66,21.679000000000027,321,True
67,5.549999999999946,450,False
68,21.734000000000005,266,True
69,21.93000000000002,70,True
70,21.630999999999954,369,True
71,21.635999999999928,364,True
72,21.642999999999923,357,True
73,21.814000000000064,186,True
74,21.640999999999973,359,True
75,21.559000000000054,441,True
76,9.549999999999928,450,False
77,5.549999999999898,450,False
78,9.549999999999898,450,False
79,21.859000000000027,141,True
80,21.707999999999956,292,True
81,21.551999999999875,448,True
82,5.5499999999998675,450,False
83,21.767000000000053,233,True
84,21.790999999999986,209,True
85,21.74400000000007,256,True
86,21.640999999999963,359,True
87,-0.45000000000000034,450,False
88,21.778000000000016,222,True
89,5.549999999999874,450,False
90,21.7160000000001,284,True
91,21.713000000000008,287,True
92,21.68700000000007,313,True
93,5.549999999999872,450,False
94,5.549999999999889,450,False
95,9.54999999999998,450,False
96,21.589000000000006,411,True
97,-0.45000000000000034,450,False
98,5.549999999999864,450,False
99,21.64,360,True
100,-0.45000000000000034,450,False
