episode,action_0,action_1,action_2,action_3,action_4
265,0,25,83,54,21
266,1,70,177,131,50
267,0,33,89,56,26
268,1,74,199,113,18
269,3,36,66,77,24
270,0,17,52,32,15
271,0,53,183,83,33
272,1,97,148,113,91
273,6,155,132,125,32
274,2,75,145,111,25
275,1,86,147,99,55
276,1,18,65,32,8
277,0,29,150,80,27
278,0,29,102,48,18
279,0,86,211,112,41
280,0,118,170,134,28
281,0,53,203,114,35
282,7,52,202,139,27
283,0,25,187,56,29
284,1,18,147,54,32
285,1,61,245,104,39
286,6,71,200,125,35
287,1,54,200,98,23
288,3,90,183,125,49
289,4,91,174,148,33
290,8,100,160,145,37
291,3,95,154,141,57
292,1,84,170,164,31
293,2,87,178,166,17
294,0,65,94,99,13
295,6,51,81,77,20
296,0,29,137,82,18
297,2,59,138,84,31
298,0,9,109,39,15
299,0,9,129,41,15
300,1,18,132,47,24
301,3,48,234,129,36
302,0,13,151,40,8
303,3,98,206,120,23
304,0,49,149,86,17
305,0,17,105,55,7
306,3,131,146,144,26
307,1,54,115,67,13
308,5,70,178,99,27
309,0,72,201,132,45
310,2,87,129,129,21
311,1,9,27,16,11
312,1,69,206,134,40
313,0,21,57,30,16
314,2,116,191,126,15
315,0,77,108,48,15
316,1,139,167,130,13
317,1,171,140,118,20
318,10,138,142,140,20
319,4,133,137,147,14
320,0,81,158,97,9
321,4,121,142,135,19
322,1,105,130,88,14
323,0,29,88,37,11
324,1,38,142,62,36
325,1,72,242,109,26
326,2,71,116,66,3
327,0,49,126,56,18
328,2,67,199,153,29
329,0,93,159,91,7
330,0,81,167,101,34
331,0,17,68,29,3
332,3,48,121,82,7
333,1,61,223,146,19
334,2,55,119,70,15
335,1,54,105,54,18
336,6,76,206,136,26
337,4,131,153,138,24
338,1,78,214,97,14
339,0,17,142,48,6
340,1,38,177,86,10
341,0,22,197,93,138
342,0,25,87,41,10
343,2,71,124,75,22
344,0,69,151,81,11
345,0,17,72,28,5
346,0,9,54,14,7
347,2,59,173,103,12
348,0,53,97,64,17
349,0,84,225,109,12
350,5,96,161,157,31
351,0,13,35,18,5
352,0,9,47,15,10
353,2,82,182,94,90
354,1,142,159,134,14
355,1,18,62,30,5
356,0,13,73,43,2
357,0,13,70,30,4
358,1,107,195,131,16
359,1,38,66,44,19
360,0,9,63,39,6
361,0,49,162,110,11
362,3,96,201,137,13
363,3,91,183,147,26
364,0,9,91,32,13
365,2,47,130,70,42
366,0,80,228,109,33
367,1,58,164,96,26
368,1,65,199,121,8
369,1,14,121,27,14
370,4,49,171,88,16
371,0,85,211,94,43
372,0,13,93,18,13
373,1,37,239,89,84
374,1,50,126,76,7
375,0,13,109,39,9
376,0,25,115,31,20
377,1,62,190,100,31
378,1,18,78,23,13
379,0,9,100,21,17
380,0,62,246,125,17
381,0,5,77,22,10
382,0,5,41,8,5
383,0,57,213,95,14
384,0,78,186,116,70
385,0,17,48,12,7
386,1,42,91,21,31
387,0,37,130,49,10
388,0,29,113,20,12
389,0,17,65,39,10
390,0,21,102,26,19
391,0,13,83,40,62
392,2,128,197,97,26
393,0,45,102,53,19
394,0,13,74,11,6
395,0,41,153,57,23
396,0,37,124,61,30
397,0,61,266,78,45
398,0,33,117,39,18
399,0,53,169,73,33
400,1,46,111,72,17
