episode,action_0,action_1,action_2,action_3,action_4
265,65,60,127,106,92
266,51,63,137,111,88
267,57,79,121,108,85
268,56,61,120,100,113
269,55,58,150,106,81
270,66,51,137,96,100
271,61,67,122,96,104
272,65,69,107,101,108
273,78,76,99,105,92
274,63,66,111,119,91
275,52,57,118,117,106
276,54,64,110,121,101
277,70,69,110,117,84
278,52,73,98,123,104
279,57,77,114,120,82
280,71,72,124,107,76
281,69,75,92,113,101
282,64,85,91,112,98
283,69,88,83,111,99
284,59,68,98,121,104
285,72,76,98,113,91
286,59,79,115,109,88
287,61,79,88,113,109
288,63,67,103,118,99
289,70,67,106,103,104
290,71,76,102,98,103
291,68,63,115,103,101
292,57,61,101,134,97
293,64,58,104,125,99
294,71,69,105,117,88
295,65,61,108,108,108
296,71,80,90,115,94
297,84,77,87,116,86
298,68,94,100,108,80
299,94,78,92,102,84
300,83,74,80,127,86
301,81,89,88,113,79
302,83,72,101,117,77
303,70,69,98,127,86
304,71,83,93,114,89
305,58,72,94,123,103
306,68,54,98,136,94
307,71,82,95,111,91
308,63,67,101,126,93
309,65,57,105,119,104
310,75,67,94,103,111
311,61,69,111,100,109
312,49,68,111,145,77
313,59,63,107,122,99
314,38,52,135,133,92
315,37,41,132,129,111
316,70,61,113,104,102
317,53,56,128,111,102
318,49,40,131,106,124
319,50,33,151,119,97
320,52,33,154,114,97
321,65,46,142,110,87
322,45,41,131,119,114
323,51,46,123,140,90
324,44,56,122,129,99
325,72,60,118,115,85
326,47,45,130,133,95
327,52,42,117,121,118
328,60,46,122,121,101
329,59,59,122,104,106
330,64,38,130,103,115
331,59,52,121,113,105
332,54,60,100,113,123
333,62,55,107,120,106
334,63,53,119,126,89
335,51,34,156,124,85
336,38,37,143,139,93
337,57,49,142,113,89
338,62,41,139,120,88
339,62,39,131,123,95
340,45,43,127,133,102
341,67,31,119,127,106
342,74,41,131,108,96
343,57,48,128,127,90
344,71,39,130,130,80
345,57,46,120,133,94
346,48,57,114,123,108
347,64,48,115,125,98
348,63,27,128,141,91
349,49,28,148,131,94
350,57,46,133,128,86
351,60,27,132,141,90
352,41,13,117,174,105
353,23,15,118,190,104
354,40,43,111,168,88
355,53,37,118,153,89
356,18,12,148,181,91
357,35,18,119,205,73
358,42,22,138,159,89
359,21,17,139,152,121
360,45,32,115,150,108
361,52,29,123,141,105
362,49,36,104,160,101
363,26,22,127,155,120
364,28,11,132,158,121
365,36,24,124,163,103
366,41,24,149,128,108
367,50,18,135,157,90
368,42,27,119,174,88
369,27,24,124,186,89
370,31,35,124,164,96
371,37,29,134,156,94
372,40,24,120,165,101
373,46,58,103,135,108
374,30,20,131,139,130
375,30,14,116,179,111
376,22,12,98,195,123
377,22,17,107,205,99
378,48,34,98,177,93
379,13,13,110,217,97
380,3,3,113,238,93
381,23,16,89,208,114
382,45,26,120,160,99
383,17,14,133,186,100
384,51,29,121,153,96
385,22,15,151,194,68
386,31,30,129,165,95
387,41,30,128,162,89
388,66,42,102,145,95
389,36,34,117,172,91
390,39,27,122,166,96
391,54,30,124,162,80
392,43,41,109,163,94
393,33,40,122,179,76
394,27,25,110,191,97
395,34,39,120,171,86
396,36,30,124,179,81
397,45,37,119,147,88
398,36,45,119,177,73
399,42,33,136,153,86
400,19,24,142,203,62
401,26,18,149,153,65
402,10,12,195,174,59
403,27,13,157,172,81
404,37,31,134,157,91
405,27,25,126,184,88
406,20,29,96,126,66
407,43,19,127,176,85
408,30,35,146,169,70
409,53,31,127,152,87
410,45,32,111,184,78
411,47,52,114,152,85
412,48,60,105,144,93
413,54,32,119,147,98
414,63,43,112,132,100
415,39,26,131,156,98
416,49,38,132,143,88
417,60,42,126,134,88
418,49,47,122,137,95
419,57,37,126,147,83
420,51,56,130,116,97
421,34,24,148,150,94
422,37,31,150,151,81
423,25,21,177,151,76
424,45,32,161,132,80
425,36,29,118,101,74
426,20,14,161,166,89
427,25,17,168,130,110
428,19,11,188,143,89
429,35,29,180,124,82
430,36,27,168,133,86
431,27,25,176,121,101
432,23,30,206,90,101
433,17,15,230,105,83
434,31,38,162,127,92
435,26,25,193,106,100
436,44,24,193,108,81
437,46,57,140,110,97
438,32,29,169,118,102
439,34,19,167,137,93
440,49,33,164,125,79
441,26,23,94,65,41
442,48,38,144,128,92
443,37,22,155,136,100
444,21,21,204,135,69
445,45,31,166,124,84
446,36,48,161,120,85
447,44,39,158,139,70
448,35,37,158,173,47
449,56,43,154,117,80
450,47,54,151,139,59
451,43,39,143,102,49
452,34,38,171,131,76
453,32,33,170,131,84
454,41,30,130,98,64
455,45,22,175,128,80
456,32,49,164,127,78
457,20,14,208,129,79
458,43,33,174,108,92
459,35,36,187,114,78
460,47,56,142,117,88
461,54,54,132,142,68
462,42,52,154,113,89
463,40,38,186,98,88
464,45,53,161,123,68
465,41,45,159,126,79
466,40,38,201,94,77
467,47,43,175,103,82
468,43,30,215,88,74
469,42,47,175,102,84
470,32,37,127,79,44
471,3,3,304,53,87
472,26,49,171,104,100
473,29,45,207,86,83
474,24,22,215,97,92
475,15,32,226,105,72
476,18,25,239,89,79
477,27,27,219,100,77
478,55,52,157,105,81
479,20,28,219,105,78
480,30,25,219,118,58
481,27,23,222,107,71
482,52,26,182,102,88
483,39,40,184,101,86
484,39,33,205,97,76
485,37,39,178,95,101
486,48,50,169,87,96
487,42,48,167,81,112
488,30,28,238,73,81
489,46,51,159,96,98
490,38,56,169,94,93
491,50,50,158,111,81
492,55,49,161,102,83
493,65,57,148,113,67
494,49,47,163,110,81
495,64,43,179,77,87
496,70,43,159,88,90
497,41,55,185,81,88
498,60,79,130,93,88
499,38,53,160,106,93
500,59,71,144,91,85
501,49,34,181,92,94
502,51,23,186,77,113
503,55,51,145,110,89
504,66,65,119,103,97
505,43,41,169,92,105
506,29,33,127,70,76
507,20,35,214,82,99
508,54,47,151,97,97
509,22,24,204,90,110
510,38,26,210,77,99
511,38,41,167,93,111
512,50,48,160,95,97
513,28,36,228,90,68
514,49,48,166,82,105
515,46,56,153,101,94
516,46,56,174,90,84
517,53,56,154,100,87
518,63,67,131,94,95
519,31,34,202,86,97
520,40,40,125,77,66
521,51,46,185,93,75
522,40,44,165,115,86
523,38,35,165,123,89
524,50,57,144,101,98
525,51,91,139,95,74
526,25,52,166,98,109
527,46,54,142,98,100
528,47,52,163,107,81
529,44,30,169,91,116
530,27,55,148,119,101
531,63,46,148,116,77
532,42,43,148,117,100
533,54,62,134,104,83
534,33,41,160,116,100
535,23,20,153,129,125
536,35,48,119,117,79
537,24,32,134,116,74
538,23,22,162,150,93
539,27,18,152,164,89
540,31,32,120,160,107
541,35,44,120,154,97
542,41,39,133,140,97
543,51,51,115,130,103
544,40,49,118,143,100
545,27,44,119,154,106
546,35,32,115,138,130
547,38,51,124,137,100
548,34,47,123,142,104
549,45,53,132,141,79
550,42,47,137,123,101
551,52,64,134,120,80
552,64,55,134,113,84
553,59,61,126,127,77
554,47,72,138,113,80
555,66,67,128,119,70
556,25,26,71,43,28
557,45,56,149,122,78
558,58,69,145,118,60
559,31,51,105,69,57
560,35,50,168,122,75
561,17,18,177,137,101
562,39,59,145,127,80
563,38,31,175,131,75
564,39,57,145,132,77
565,48,53,155,119,75
