episode,reward,steps,epsilon,success,policy_loss,value_loss,entropy,total_loss,mean_advantage,approx_kl_mean,clip_frac_mean,ratio_mean,ratio_std,v_mean,v_std,raw_adv_mean,raw_adv_std,raw_adv_min,raw_adv_max,returns_mean,returns_std,values_old_mean,values_old_std,explained_variance
1,-0.45000000000000034,450,0.0,False,0.021079614758491516,4.043409717269242e-06,1.6086089611053467,0.01947302743792534,-0.019590528681874275,-0.0006419336423277855,0.0,1.0012192651629448,0.028311941772699356,-5.806649278383702e-05,0.0002595741461846046,-0.019590528681874275,0.0026102967094630003,-0.021329743787646294,-0.0012152399867773056,0.0013510057469829917,0.0026606570463627577,0.020941535010933876,0.0003392232465557754,0.038852035999298096
2,0.5499999999999996,450,0.0,False,0.016296330839395523,0.0007928574341349304,1.607387900352478,0.01508537121117115,0.02114901877939701,-0.0011031567119061947,0.0,1.0014275684952736,0.02352571685332805,0.03377839457243681,0.0003842822952719871,0.02114901877939701,0.13361983001232147,-0.017944494262337685,0.9842433333396912,0.021045485511422157,0.1335926353931427,-0.00010353339166613296,0.0003261308593209833,-0.0004067420959472656
3,5.549999999999988,450,0.0,False,-0.03806003928184509,0.015995817258954048,1.6004209518432617,-0.031662553548812866,0.1971937119960785,0.01167766866274178,0.0,0.9902048110961914,0.05052106361836195,0.1696199458092451,0.0010329450960853137,0.1971937119960785,0.4713284373283386,-0.019948327913880348,2.981001615524292,0.21341922879219055,0.47137945890426636,0.016225522384047508,0.0002686998632270843,0.00021660327911376953
4,5.549999999999925,450,0.0,False,-1.1396026611328125,1.0121374130249023,1.5846035480499268,-0.6351185441017151,0.16981245577335358,0.0016650967299938202,0.0,1.0016301646828651,0.07681904826313257,0.42857806757092476,0.004206223413348198,0.16981245577335358,0.6079984903335571,-0.05795397236943245,3.893260955810547,0.40379849076271057,0.6085898280143738,0.2339860200881958,0.002036716789007187,0.0019423961639404297
5,0.5499999999999996,450,0.0,False,0.08659050613641739,0.0008887808071449399,1.5707767009735107,0.08546411991119385,-0.052068497985601425,0.00570730259642005,0.0,0.9952237010002136,0.037488262983970344,0.41549699380993843,0.0012999144091736525,-0.052068497985601425,0.1330292671918869,-0.09577172994613647,0.9070206880569458,0.3997482359409332,0.13335412740707397,0.45181676745414734,0.0011842665262520313,0.0048667192459106445
6,0.5499999999999997,450,0.0,False,0.08475027978420258,0.00018590191029943526,1.5659765005111694,0.08327725529670715,-0.04384634643793106,-0.000304915476590395,0.0,1.0004877969622612,0.01869947207160294,0.32513701170682907,0.0012106251815566793,-0.04384634643793106,0.1337362378835678,-0.08726201206445694,0.921596348285675,0.35688021779060364,0.13419529795646667,0.4007265865802765,0.0011959128314629197,0.00683063268661499
7,2.550000000000015,450,0.0,False,-0.10068067163228989,0.014304166659712791,1.5800062417984009,-0.09510859847068787,0.0407097153365612,-0.006164514692500234,0.0,1.0078723207116127,0.047823850996792316,0.372301422059536,0.002513515792088583,0.0407097153365612,0.28772488236427307,-0.07628318667411804,1.9224754571914673,0.3793548047542572,0.2885179817676544,0.3386451005935669,0.0023802458308637142,0.005490243434906006
8,0.5499999999999996,450,0.0,False,0.07898693531751633,1.7722037227940746e-05,1.583909273147583,0.07741188257932663,-0.04049473628401756,0.0020840081851929426,0.0,0.998454138636589,0.031091474695131183,0.3236100971698761,0.0014150307688396424,-0.04049473628401756,0.13287019729614258,-0.08323349058628082,0.916993260383606,0.3387127220630646,0.13361328840255737,0.37920746207237244,0.0016147007700055838,0.011092603206634521
9,-0.45000000000000034,450,0.0,False,0.06920631229877472,0.0003158660256303847,1.5931243896484375,0.06777111440896988,-0.06614316999912262,-0.000278606079518795,0.0,1.0009072571992874,0.03416682383976877,0.2272587437182665,0.0009858597913989797,-0.06614316999912262,0.008698288351297379,-0.07084077596664429,-0.004072040319442749,0.24173957109451294,0.008452591486275196,0.30788275599479675,0.0011966123711317778,-0.05883216857910156
10,-0.45000000000000034,450,0.0,False,0.05307628586888313,1.1833439202746376e-05,1.5966250896453857,0.051485575735569,-0.05090569332242012,-0.0013443815987557173,0.0,1.0014863535761833,0.015196310472674668,0.16802285797894,0.0002665540851012338,-0.05090569332242012,0.006590964738279581,-0.05328263342380524,-0.0031360238790512085,0.16292978823184967,0.006608274299651384,0.21383549273014069,0.00030478875851258636,0.005459129810333252
