episode,reward,steps,success
1,21.804000000000002,130,True
2,21.385999999999953,392,True
3,21.67000000000007,186,True
4,21.538999999999994,299,True
5,9.25000000000009,450,False
6,-0.7650000000000006,450,False
7,21.644,227,True
8,5.225999999999939,450,False
9,21.655,225,True
10,21.501000000000026,304,True
11,21.81599999999998,142,True
12,21.318,406,True
13,-0.7710000000000006,450,False
14,5.23199999999999,450,False
15,21.406000000000038,312,True
16,9.180999999999964,450,False
17,5.195999999999956,450,False
18,21.563000000000045,266,True
19,21.802999999999997,107,True
20,21.707000000000054,182,True
21,21.52599999999999,258,True
22,21.482,278,True
23,5.078999999999978,450,False
24,21.335000000000047,386,True
25,21.289000000000023,348,True
26,5.207999999999941,450,False
27,5.207999999999976,450,False
28,21.368999999999957,379,True
29,5.129999999999965,450,False
30,21.72300000000004,172,True
31,21.263999999999996,391,True
32,21.469999999999985,284,True
33,5.219999999999942,450,False
34,21.71300000000003,191,True
35,21.47799999999998,300,True
36,5.22899999999997,450,False
37,21.320000000000057,365,True
38,5.195999999999977,450,False
39,21.51399999999996,330,True
40,21.45900000000009,307,True
41,21.778000000000013,144,True
42,9.193000000000078,450,False
43,5.213999999999947,450,False
44,21.23199999999999,423,True
45,21.490000000000016,300,True
46,21.45200000000001,317,True
47,21.720000000000027,154,True
48,9.244000000000117,450,False
49,21.611999999999988,235,True
50,21.267000000000003,424,True
51,5.120999999999967,450,False
52,5.186999999999963,450,False
53,5.159999999999982,450,False
54,5.201999999999968,450,False
55,21.752999999999997,133,True
56,5.234999999999993,450,False
57,9.177999999999988,450,False
58,21.17600000000001,440,True
59,21.700000000000003,189,True
60,-0.7770000000000006,450,False
61,21.76000000000004,141,True
62,21.29299999999998,383,True
63,5.219999999999941,450,False
64,21.820999999999998,110,True
65,5.183999999999949,450,False
66,21.52600000000001,276,True
67,21.515000000000043,284,True
68,5.234999999999951,450,False
69,5.075999999999974,450,False
70,21.34700000000007,353,True
71,-0.8130000000000006,450,False
72,5.192999999999991,450,False
73,21.38500000000002,345,True
74,21.437000000000012,341,True
75,21.599999999999984,244,True
76,5.183999999999993,450,False
77,5.219999999999946,450,False
78,21.16400000000001,437,True
79,21.309999999999995,387,True
80,5.114999999999981,450,False
81,21.569000000000038,239,True
82,21.47399999999997,313,True
83,21.42600000000002,331,True
84,5.27699999999994,450,False
85,21.337000000000057,363,True
86,5.195999999999963,450,False
87,-0.7950000000000006,450,False
88,5.2379999999999445,450,False
89,5.201999999999966,450,False
90,9.151000000000007,450,False
91,21.549000000000028,256,True
92,9.174999999999992,450,False
93,21.19199999999997,442,True
94,9.207999999999975,450,False
95,21.35600000000003,413,True
96,21.261999999999993,381,True
97,5.132999999999965,450,False
98,5.195999999999977,450,False
99,5.2379999999999525,450,False
100,21.689000000000007,179,True
