episode,reward,steps,epsilon,success,policy_loss,value_loss,entropy,total_loss,mean_advantage,approx_kl_mean,clip_frac_mean,ratio_mean,ratio_std,v_mean,v_std,raw_adv_mean,raw_adv_std,raw_adv_min,raw_adv_max,returns_mean,returns_std,values_old_mean,values_old_std,explained_variance
1,-1.0799999999999985,450,0.0,False,0.034095246344804764,3.8464654608105775e-06,1.608081340789795,0.03248908743262291,-0.03240801766514778,0.0002223632764071226,0.0,1.0003301352262497,0.028417413122951984,-0.06873183883726597,0.00014355800976773025,-0.03240801766514778,0.00640780758112669,-0.04419838637113571,-0.0006287954747676849,-0.07328406721353531,0.006420420948415995,-0.040876053273677826,0.000181301380507648,0.0041664838790893555
2,-0.9870000000000008,450,0.0,False,0.020553670823574066,1.716798942652531e-05,1.6075623035430908,0.018954690545797348,-0.02333754301071167,3.186659887433052e-05,0.0,1.0001225695014,0.01693359762430191,-0.10100506898015738,0.00012505746417446062,-0.02333754301071167,0.0048393248580396175,-0.03473665565252304,-7.712841033935547e-05,-0.10009491443634033,0.004815344233065844,-0.07675736397504807,0.00014766387175768614,-0.009550333023071289
3,2.007000000000013,450,0.0,False,0.02365105226635933,0.005678054876625538,1.6077311038970947,0.024882348254323006,0.08285235613584518,0.0005742323119193316,0.0,0.9994809851050377,0.009800349012948573,-0.019175712252035737,0.00017712212684273254,0.08285235613584518,0.2923654615879059,-0.03640059754252434,1.985524296760559,-0.008144775405526161,0.2923397123813629,-0.0909971296787262,0.00014487726730294526,-0.00017595291137695312
4,-0.9570000000000007,450,0.0,False,0.03607960045337677,1.551353489048779e-05,1.6076576709747314,0.03447970002889633,-0.032735101878643036,0.00020313519053161144,0.0,0.9998310506343842,0.008152865746524185,-0.04156816238537431,0.00014831238877377473,-0.032735101878643036,0.006586289033293724,-0.045993417501449585,-0.000585552304983139,-0.04404561594128609,0.006608243100345135,-0.011310509406030178,0.00015325204003602266,0.0068604350090026855
5,2.052000000000002,450,0.0,False,0.028020568192005157,0.0053893509320914745,1.6064846515655518,0.02910875901579857,0.08600137382745743,0.005417780950665474,0.0,0.994773305952549,0.012983424647245556,0.002803372495691292,0.0001488015041104518,0.08600137382745743,0.29079437255859375,-0.03635439649224281,1.9843329191207886,0.03495018184185028,0.29078370332717896,-0.05105118826031685,0.00019027382950298488,-7.331371307373047e-05
6,0.018999999999999247,450,0.0,False,-0.014804918318986893,0.0016544810496270657,1.603846549987793,-0.0155815239995718,-0.002162927994504571,-0.0005940538831055164,0.0,1.0009125992655754,0.024690123507753015,0.03527819737792015,9.736957144923508e-05,-0.002162927994504571,0.1341732144355774,-0.04840133711695671,0.9585514068603516,0.02383516915142536,0.13417448103427887,0.025998100638389587,0.0001201565537485294,1.9311904907226562e-05
7,5.06999999999999,450,0.0,False,-0.015082446858286858,0.026638200506567955,1.570708155632019,-0.003334054723381996,0.18583893775939941,0.017002767184749246,0.173828125,0.9929815456271172,0.12362504377961159,0.2141689918935299,0.00025161932171613444,0.18583893775939941,0.5808264017105103,-0.04652421921491623,3.490618944168091,0.2149290293455124,0.5808360576629639,0.029090097174048424,0.00014231940440367907,3.314018249511719e-05
8,-0.8040000000000006,450,0.0,False,0.07297059148550034,0.00016366445925086737,1.5788547992706299,0.07147356867790222,-0.07202284783124924,0.0037240313831716776,0.0,0.9970652535557747,0.03798218071460724,0.15635463781654835,0.0001412438778061187,-0.07202284783124924,0.010205474682152271,-0.08597994595766068,-0.0032952725887298584,0.19488054513931274,0.010226048529148102,0.2669034004211426,0.0002539010311011225,0.004114627838134766
9,0.15099999999999925,450,0.0,False,0.061191193759441376,0.0007805577479302883,1.5838980674743652,0.05999757722020149,-0.022471755743026733,0.0021190601401031017,0.0,0.9980401992797852,0.015580755309201777,0.16681468859314919,0.00013410986321105156,-0.022471755743026733,0.13520872592926025,-0.07019525021314621,0.9433972239494324,0.15707306563854218,0.13520283997058868,0.1795448213815689,0.0001538537471788004,-8.666515350341797e-05
10,2.1360000000000077,450,0.0,False,0.04380551725625992,0.0024260219652205706,1.594458818435669,0.04342406988143921,0.050150688737630844,0.004326659720391035,0.0,0.9967972636222839,0.04239985113963485,0.1666884385049343,0.00014059050954529084,0.050150688737630844,0.2900935411453247,-0.06426069140434265,1.9450010061264038,0.20243187248706818,0.29012641310691833,0.15228119492530823,0.00016759119171183556,0.00022679567337036133
