episode,reward,steps,success
1,21.865999999999982,134,True
2,21.782999999999966,217,True
3,21.737999999999957,262,True
4,21.921000000000017,79,True
5,5.549999999999886,450,False
6,9.549999999999867,450,False
7,5.549999999999865,450,False
8,21.765999999999977,234,True
9,21.55799999999988,442,True
10,21.755999999999972,244,True
11,21.84600000000001,154,True
12,21.57299999999993,427,True
13,21.783999999999978,216,True
14,21.661999999999928,338,True
15,21.921,79,True
16,21.815000000000026,185,True
17,21.798000000000002,202,True
18,21.683999999999948,316,True
19,21.907000000000007,93,True
20,21.897000000000013,103,True
21,21.80899999999997,191,True
22,21.68599999999995,314,True
23,21.831999999999972,168,True
24,21.916000000000004,84,True
25,21.731000000000005,269,True
26,21.597999999999903,402,True
27,21.872999999999998,127,True
28,21.797999999999984,202,True
29,21.648999999999912,351,True
30,21.661999999999914,338,True
31,21.944000000000003,56,True
32,21.55899999999989,441,True
33,21.771999999999963,228,True
34,21.931,69,True
35,21.70199999999997,298,True
36,21.86499999999998,135,True
37,21.702999999999946,297,True
38,21.808999999999987,191,True
39,21.753999999999987,246,True
40,2.5500000000000007,450,False
41,21.80199999999997,198,True
42,21.90999999999999,90,True
43,21.869999999999976,130,True
44,21.833999999999996,166,True
45,21.893000000000015,107,True
46,21.789999999999978,210,True
47,21.869,131,True
48,5.549999999999865,450,False
49,21.88299999999999,117,True
50,21.796,204,True
51,5.549999999999901,450,False
52,5.5499999999998675,450,False
53,21.75099999999999,249,True
54,21.69199999999991,308,True
55,5.549999999999863,450,False
56,21.957000000000008,43,True
57,21.89699999999999,103,True
58,5.549999999999868,450,False
59,21.704999999999938,295,True
60,21.647999999999996,352,True
61,21.834000000000024,166,True
62,21.749999999999993,250,True
63,21.747999999999944,252,True
64,21.67799999999994,322,True
65,21.85599999999998,144,True
66,21.752999999999947,247,True
67,21.85099999999999,149,True
68,21.778000000000002,222,True
69,21.82699999999999,173,True
70,21.708999999999996,291,True
71,5.54999999999987,450,False
72,9.549999999999876,450,False
73,21.798999999999957,201,True
74,-0.45000000000000034,450,False
75,21.90800000000001,92,True
76,21.86999999999999,130,True
77,21.841999999999985,158,True
78,5.549999999999928,450,False
79,21.76499999999996,235,True
80,21.833999999999996,166,True
81,21.658999999999953,341,True
82,21.906000000000002,94,True
83,5.549999999999956,450,False
84,21.91600000000003,84,True
85,21.873999999999995,126,True
86,21.760000000000026,240,True
87,21.799999999999997,200,True
88,5.549999999999875,450,False
89,5.549999999999869,450,False
90,21.79799999999998,202,True
91,21.886999999999993,113,True
92,21.863999999999983,136,True
93,21.749999999999964,250,True
94,21.856,144,True
95,21.80899999999998,191,True
96,21.80299999999997,197,True
97,5.549999999999877,450,False
98,21.836999999999975,163,True
99,21.866999999999976,133,True
100,21.73800000000005,262,True
