episode,reward,steps,epsilon,success,policy_loss,value_loss,entropy,total_loss,mean_advantage,approx_kl_mean,clip_frac_mean,ratio_mean,ratio_std,v_mean,v_std,raw_adv_mean,raw_adv_std,raw_adv_min,raw_adv_max,returns_mean,returns_std,values_old_mean,values_old_std,explained_variance
1,5.549999999999886,450,0.0,False,0.13354134559631348,0.18189705908298492,1.2012808322906494,0.22328858077526093,-0.5736925005912781,0.015129107283428311,0.029296875,0.9888172447681427,0.07891434524208307,3.754605859518051,0.7683948203921318,-0.5736925005912781,0.5350380539894104,-2.543242931365967,2.3475699424743652,3.765989303588867,0.9238268136978149,4.339682102203369,0.7670300602912903,0.6645805835723877
2,21.868000000000006,132,0.0,True,-0.5958411693572998,0.9065042734146118,1.2773706912994385,-0.1438664048910141,1.759461522102356,-0.008310232311487198,0.0,1.008564015229543,0.015170530105630556,3.8272290229797363,0.5459054286281267,1.759461522102356,2.759385824203491,-0.5986946821212769,9.512022018432617,5.565091609954834,3.036086320877075,3.8056299686431885,0.7644968628883362,0.17396855354309082
3,21.764999999999993,235,0.0,True,-0.5540643334388733,0.9127155542373657,1.012733817100525,-0.0987192913889885,0.5195778012275696,-0.0031953896686900407,0.0,1.0044955611228943,0.048388720490038395,4.605061769485474,1.125736877322197,0.5195778012275696,1.439803957939148,-1.99100923538208,5.285952568054199,4.825088024139404,1.996949553489685,4.3055100440979,1.0945987701416016,0.4801566004753113
4,21.787999999999997,212,0.0,True,0.11432334035634995,0.932227611541748,0.8456533551216125,0.5795914530754089,0.37233051657676697,0.00675507728010416,0.06640625,0.9983373284339905,0.0933866836130619,5.759307265281677,0.9973061978816986,0.37233051657676697,1.3834779262542725,-1.9411627054214478,4.537492752075195,5.67190408706665,1.8457690477371216,5.2995734214782715,1.0439493656158447,0.43818962574005127
5,21.740000000000055,260,0.0,True,0.19679318368434906,0.6059417128562927,0.9275626540184021,0.4988364577293396,0.22758568823337555,0.0025844424962997437,0.003125,0.9988690257072449,0.05132565908133983,5.629253292083741,0.9713870704174041,0.22758568823337555,1.2954021692276,-1.3571985960006714,4.696225166320801,5.5281805992126465,1.5852190256118774,5.300595283508301,1.1183313131332397,0.33222413063049316
6,5.549999999999882,450,0.0,False,0.3961220681667328,0.05044127255678177,1.0536460876464844,0.4202890694141388,-0.5079011917114258,0.024295619688928127,0.12890625,0.9871193915605545,0.1506236083805561,3.541864722967148,0.8347018137574196,-0.5079011917114258,0.5717856884002686,-2.0844173431396484,2.370763063430786,3.598937511444092,1.0309116840362549,4.106838703155518,0.8149842619895935,0.6923735737800598
7,5.549999999999865,450,0.0,False,0.5157968997955322,0.023382756859064102,1.1917314529418945,0.5262965559959412,-0.4782194197177887,0.027839122572913766,0.044921875,0.9799270257353783,0.10441813245415688,3.0158801078796387,0.729859970510006,-0.4782194197177887,0.5490541458129883,-2.5073108673095703,2.071763277053833,3.140655517578125,1.030416488647461,3.618875026702881,0.8391644954681396,0.7160743474960327
8,5.549999999999885,450,0.0,False,0.4074678421020508,0.021206650882959366,1.2194286584854126,0.4168517589569092,-0.44980841875076294,0.01826251088641584,0.1328125,0.9921711385250092,0.14553705882281065,3.0134206414222717,0.8766934797167778,-0.44980841875076294,0.48651665449142456,-1.8925871849060059,2.2434728145599365,3.168552875518799,1.0557037591934204,3.618361473083496,0.9675716161727905,0.7876212000846863
9,21.817000000000036,183,0.0,True,-0.8454272150993347,1.2085909843444824,0.9557218551635742,-0.2420874387025833,0.663589596748352,0.0028883326643457017,0.0,0.9979930520057678,0.03955241789420446,5.260974884033203,1.0738170742988586,0.663589596748352,1.576298475265503,-2.1101856231689453,5.188887596130371,5.786199569702148,1.7334131002426147,5.122609615325928,1.0704827308654785,0.17306232452392578
10,21.89,110,0.0,True,-2.3244588375091553,4.2279372215271,1.128316044807434,-0.2116185426712036,2.144136905670166,0.0010778000578284264,0.0,0.9991387128829956,0.02008709218353033,3.671046257019043,1.1184611320495605,2.144136905670166,1.9568853378295898,0.2558601200580597,7.709889888763428,5.6995038986206055,2.019064426422119,3.5553665161132812,1.1017935276031494,0.060643672943115234
