episode,action_0,action_1,action_2
399,5,3,9
400,8,5,13
401,72,63,65
402,54,77,69
403,4,9,12
404,4,8,8
405,20,16,26
406,2,3,9
407,8,2,11
408,9,6,10
409,44,63,63
410,12,12,15
411,16,24,31
412,13,11,12
413,16,13,18
414,3,4,12
415,14,27,20
416,12,9,12
417,66,73,61
418,4,9,11
419,4,5,15
420,22,20,19
421,71,50,79
422,63,67,70
423,5,9,15
424,6,14,10
425,9,17,13
426,75,61,64
427,21,17,18
428,1,2,7
429,18,9,12
430,79,63,58
431,26,17,24
432,77,59,64
433,74,58,68
434,15,27,26
435,52,60,59
436,10,10,11
437,66,76,58
438,15,8,20
439,9,7,11
440,2,4,9
441,13,23,25
442,12,10,15
443,79,67,54
444,13,12,18
445,4,4,6
446,8,4,7
447,36,22,42
448,26,23,21
449,19,21,23
450,3,3,7
451,6,6,15
452,5,6,9
453,7,11,12
454,10,8,7
455,14,17,20
456,5,5,12
457,5,6,12
458,13,14,13
459,64,64,72
460,66,71,63
461,77,60,63
462,4,3,6
463,24,22,20
464,11,9,13
465,5,6,6
466,4,8,7
467,14,13,14
468,49,76,75
469,67,76,57
470,13,10,13
471,4,8,17
472,62,60,78
473,16,15,19
474,17,13,15
475,2,4,6
476,16,11,16
477,11,14,19
478,67,65,68
479,58,74,68
480,64,53,83
481,3,8,6
482,20,22,20
483,60,60,80
484,33,36,37
485,72,61,67
486,72,76,52
487,5,2,8
488,10,16,17
489,6,4,12
490,5,4,7
491,5,4,15
492,69,73,58
493,64,65,71
494,20,8,16
495,20,13,21
496,13,17,9
497,7,10,10
498,13,4,12
499,13,16,14
500,6,6,6
501,64,66,70
502,20,27,22
503,73,56,71
504,16,9,14
505,3,5,7
506,2,3,5
507,2,1,4
508,9,13,19
509,7,10,18
510,34,25,24
511,69,66,65
512,69,69,62
513,21,12,26
514,6,18,13
515,8,5,10
516,3,4,9
517,75,68,57
518,82,47,71
519,21,14,24
520,10,6,16
521,67,68,65
522,59,77,64
523,70,60,70
524,5,7,8
525,7,16,14
526,14,12,17
527,9,7,10
528,11,13,26
529,4,5,10
530,28,22,39
531,9,17,17
532,14,13,13
533,5,7,9
534,17,13,13
535,2,8,14
536,3,9,7
537,60,71,69
538,78,65,57
539,8,9,8
540,7,9,11
541,24,18,19
542,4,4,13
543,13,10,10
544,13,11,12
545,11,6,14
546,10,8,9
547,2,1,7
548,5,7,7
549,10,16,18
550,2,2,12
551,11,7,18
552,15,13,11
553,17,13,17
554,11,11,13
555,4,3,6
556,3,0,4
557,9,6,13
558,24,21,20
559,23,16,31
560,3,4,6
561,19,10,14
562,7,7,6
563,10,15,16
564,30,32,38
565,5,7,12
566,16,12,21
567,12,15,19
568,5,3,10
569,63,64,73
570,11,18,12
571,1,8,13
572,6,7,7
573,8,6,9
574,7,12,17
575,1,2,4
576,6,4,7
577,3,4,6
578,4,2,11
579,26,17,16
580,9,3,11
581,13,26,24
582,2,3,4
583,3,1,11
584,4,6,12
585,2,4,5
586,2,1,3
587,13,16,20
588,12,12,20
589,24,13,14
590,0,0,6
591,3,4,14
592,13,8,11
593,17,10,27
594,2,4,7
595,16,29,32
596,27,25,35
597,5,6,9
598,3,7,16
599,3,9,5
600,6,5,8
601,8,8,16
602,11,13,11
603,10,9,9
604,1,1,4
605,4,6,7
606,6,5,13
607,2,3,7
608,8,4,9
609,7,15,16
610,9,6,11
611,1,4,6
612,9,14,16
613,2,1,4
614,7,7,5
615,2,5,9
616,1,2,6
617,6,6,9
618,7,8,8
619,7,8,12
620,5,8,9
621,4,6,10
622,55,52,47
623,7,5,10
624,8,8,8
625,3,5,6
626,3,3,11
627,11,16,19
628,6,8,8
629,7,6,10
630,5,6,10
631,9,10,15
632,10,3,12
633,14,12,13
634,11,8,14
635,3,3,7
636,10,5,18
637,2,2,9
638,3,6,9
639,12,12,16
640,26,27,24
641,3,8,6
642,11,18,14
643,10,11,17
644,4,5,3
645,8,2,7
646,19,13,18
647,10,6,9
648,6,8,13
649,2,4,2
650,5,6,13
651,7,1,9
652,10,9,15
653,6,9,11
654,0,1,10
655,7,12,12
656,7,13,17
657,30,28,33
658,12,13,14
659,2,1,8
660,2,3,7
661,10,9,9
662,3,2,7
663,21,9,19
664,10,7,20
665,11,6,16
666,7,6,9
667,23,12,23
668,5,1,11
669,10,6,11
670,2,1,3
671,5,9,11
672,10,19,15
673,1,2,4
674,16,12,15
675,5,3,4
676,7,13,14
677,8,5,15
678,9,15,17
679,1,2,3
680,10,7,22
681,7,7,12
682,10,7,14
683,17,7,15
684,3,4,4
685,11,6,10
686,13,7,18
687,14,19,24
688,8,7,11
689,11,17,15
690,10,4,13
691,8,11,19
692,4,5,5
693,10,18,15
694,3,2,9
695,12,8,13
696,10,14,8
697,1,6,9
698,15,14,19
699,13,8,13
700,18,12,18
701,6,11,11
702,9,10,14
703,4,2,8
704,6,6,12
705,4,6,9
706,3,4,5
707,3,0,5
708,1,2,9
709,6,5,13
710,12,10,6
711,3,7,7
712,11,11,7
713,6,7,14
714,4,7,7
715,4,6,5
716,7,4,8
717,11,8,14
718,3,4,10
719,1,0,2
720,6,6,11
721,2,2,7
722,0,3,4
723,2,2,10
724,6,8,10
725,1,3,12
726,8,10,11
727,6,6,11
728,14,10,12
729,3,7,14
730,6,6,12
731,6,6,12
732,19,20,40
733,11,12,16
734,11,9,20
735,6,7,12
736,14,18,19
737,8,9,12
738,11,12,16
739,9,6,11
740,14,9,13
741,3,3,5
742,2,5,6
743,19,18,17
744,1,0,4
745,6,3,8
746,7,2,8
747,2,4,7
748,6,5,9
749,17,18,13
750,5,4,6
751,6,5,13
752,8,12,17
753,5,6,7
754,15,16,21
755,4,2,9
756,12,5,10
757,6,13,10
758,2,3,13
759,15,16,19
760,10,6,10
761,10,6,13
762,8,2,11
763,1,9,6
764,9,14,16
765,11,8,12
766,4,4,8
