episode,reward,steps,epsilon,success
1,0.1999999999999994,160,0.9990500000000004,True
2,-1.0000000000000007,200,0.997862500000001,False
3,0.48499999999999965,103,0.9972509375000013,True
4,-1.0000000000000007,200,0.9960634375000018,False
5,0.7199999999999999,56,0.995730937500002,True
6,-1.0000000000000007,200,0.9945434375000025,False
7,-1.0000000000000007,200,0.9933559375000031,False
8,-1.0000000000000007,200,0.9921684375000036,False
9,-1.0000000000000007,200,0.9909809375000042,False
10,-1.0000000000000007,200,0.9897934375000047,False
11,0.7549999999999999,49,0.9895025000000048,True
12,-1.0000000000000007,200,0.9883150000000054,False
13,-1.0000000000000007,200,0.9871275000000059,False
14,-1.0000000000000007,200,0.9859400000000065,False
15,-1.0000000000000007,200,0.984752500000007,False
16,-1.0000000000000007,200,0.9835650000000076,False
17,-1.0000000000000007,200,0.9823775000000081,False
18,0.1899999999999994,162,0.9814156250000086,True
19,-1.0000000000000007,200,0.9802281250000091,False
20,-1.0000000000000007,200,0.9790406250000097,False
21,0.3999999999999996,120,0.97832812500001,True
22,-1.0000000000000007,200,0.9771406250000105,False
23,0.36499999999999955,127,0.9763865625000109,True
24,0.27499999999999947,145,0.9755256250000113,True
25,-1.0000000000000007,200,0.9743381250000118,False
26,-1.0000000000000007,200,0.9731506250000124,False
27,-1.0000000000000007,200,0.9719631250000129,False
28,-1.0000000000000007,200,0.9707756250000135,False
29,-1.0000000000000007,200,0.969588125000014,False
30,-1.0000000000000007,200,0.9684006250000146,False
31,-1.0000000000000007,200,0.9672131250000151,False
32,-1.0000000000000007,200,0.9660256250000157,False
33,-1.0000000000000007,200,0.9648381250000162,False
34,-1.0000000000000007,200,0.9636506250000167,False
35,-1.0000000000000007,200,0.9624631250000173,False
36,0.85,30,0.9622850000000174,True
37,-1.0000000000000007,200,0.9610975000000179,False
38,-1.0000000000000007,200,0.9599100000000185,False
39,0.05499999999999927,189,0.958787812500019,True
40,-1.0000000000000007,200,0.9576003125000195,False
41,0.4099999999999996,118,0.9568996875000199,True
42,-1.0000000000000007,200,0.9557121875000204,False
43,-1.0000000000000007,200,0.954524687500021,False
44,-1.0000000000000007,200,0.9533371875000215,False
45,0.6299999999999998,74,0.9528978125000217,True
46,-1.0000000000000007,200,0.9517103125000222,False
47,-1.0000000000000007,200,0.9505228125000228,False
48,0.865,27,0.9503625000000229,True
49,-1.0000000000000007,200,0.9491750000000234,False
